=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: ivy_c8220) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [211/1638] t=32 m=20 w=0 | elapsed=6353s eta=42965s
  [212/1638] t=32 m=30 w=0 | elapsed=6383s eta=42934s
  [213/1638] t=32 m=40 w=0 | elapsed=6413s eta=42903s
  [214/1638] t=32 m=50 w=0 | elapsed=6443s eta=42873s
  [215/1638] t=32 m=60 w=0 | elapsed=6473s eta=42842s
  [216/1638] t=32 m=70 w=0 | elapsed=6503s eta=42811s
  [217/1638] t=32 m=80 w=0 | elapsed=6534s eta=42787s
  [218/1638] t=32 m=90 w=0 | elapsed=6564s eta=42756s
  [219/1638] t=32 m=100 w=0 | elapsed=6594s eta=42725s
  [220/1638] t=32 m=150 w=0 | elapsed=6624s eta=42694s
  [221/1638] t=32 m=200 w=0 | elapsed=6654s eta=42663s
  [222/1638] t=32 m=250 w=0 | elapsed=6684s eta=42633s
  [223/1638] t=32 m=300 w=0 | elapsed=6714s eta=42602s
  [224/1638] t=32 m=400 w=0 | elapsed=6744s eta=42571s
  [225/1638] t=32 m=500 w=0 | elapsed=6774s eta=42540s
  [226/1638] t=32 m=700 w=0 | elapsed=6805s eta=42516s
  [227/1638] t=32 m=1000 w=0 | elapsed=6835s eta=42485s
  [228/1638] t=32 m=2000 w=0 | elapsed=6865s eta=42454s
