=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: broadwell_xl170) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] SKIP t=8 m=10 w=0
  [3/1638] SKIP t=8 m=20 w=0
  [4/1638] SKIP t=8 m=30 w=0
  [5/1638] SKIP t=8 m=40 w=0
  [1434/1638] t=16 m=30 w=5000 | elapsed=43023s eta=6141s
  [1435/1638] t=16 m=40 w=5000 | elapsed=43054s eta=6111s
  [1436/1638] t=16 m=50 w=5000 | elapsed=43084s eta=6081s
  [1437/1638] t=16 m=60 w=5000 | elapsed=43114s eta=6051s
  [1438/1638] t=16 m=70 w=5000 | elapsed=43144s eta=6021s
  [1439/1638] t=16 m=80 w=5000 | elapsed=43174s eta=5991s
  [1440/1638] t=16 m=90 w=5000 | elapsed=43204s eta=5961s
  [1441/1638] t=16 m=100 w=5000 | elapsed=43234s eta=5931s
  [1442/1638] t=16 m=150 w=5000 | elapsed=43264s eta=5901s
  [1443/1638] t=16 m=200 w=5000 | elapsed=43294s eta=5870s
  [1444/1638] t=16 m=250 w=5000 | elapsed=43325s eta=5840s
  [1445/1638] t=16 m=300 w=5000 | elapsed=43355s eta=5810s
  [1446/1638] t=16 m=400 w=5000 | elapsed=43385s eta=5780s
  [1447/1638] t=16 m=500 w=5000 | elapsed=43415s eta=5750s
  [1448/1638] t=16 m=700 w=5000 | elapsed=43445s eta=5720s
  [1449/1638] t=16 m=1000 w=5000 | elapsed=43475s eta=5690s
  [1450/1638] t=16 m=2000 w=5000 | elapsed=43505s eta=5660s
  [1451/1638] t=16 m=3000 w=5000 | elapsed=43535s eta=5630s
  [1452/1638] t=16 m=5000 w=5000 | elapsed=43565s eta=5599s
  [1453/1638] t=16 m=7000 w=5000 | elapsed=43595s eta=5569s
  [1454/1638] t=16 m=10000 w=5000 | elapsed=43626s eta=5539s
  [1455/1638] t=16 m=20000 w=5000 | elapsed=43656s eta=5509s
  [1456/1638] t=16 m=50000 w=5000 | elapsed=43686s eta=5479s
  [1457/1638] t=32 m=0 w=5000 | elapsed=43716s eta=5449s
  [1458/1638] t=32 m=10 w=5000 | elapsed=43746s eta=5419s
  [1459/1638] t=32 m=20 w=5000 | elapsed=43776s eta=5389s
  [1460/1638] t=32 m=30 w=5000 | elapsed=43806s eta=5359s
  [1461/1638] t=32 m=40 w=5000 | elapsed=43836s eta=5328s
  [1462/1638] t=32 m=50 w=5000 | elapsed=43866s eta=5298s
  [1463/1638] t=32 m=60 w=5000 | elapsed=43897s eta=5268s
  [1464/1638] t=32 m=70 w=5000 | elapsed=43927s eta=5238s
  [1465/1638] t=32 m=80 w=5000 | elapsed=43957s eta=5208s
  [1466/1638] t=32 m=90 w=5000 | elapsed=43987s eta=5178s
  [1467/1638] t=32 m=100 w=5000 | elapsed=44017s eta=5148s
  [1468/1638] t=32 m=150 w=5000 | elapsed=44047s eta=5118s
  [1469/1638] t=32 m=200 w=5000 | elapsed=44077s eta=5088s
  [1470/1638] t=32 m=250 w=5000 | elapsed=44107s eta=5058s
  [1471/1638] t=32 m=300 w=5000 | elapsed=44137s eta=5027s
  [1472/1638] t=32 m=400 w=5000 | elapsed=44168s eta=4997s
  [1473/1638] t=32 m=500 w=5000 | elapsed=44198s eta=4967s
  [1474/1638] t=32 m=700 w=5000 | elapsed=44228s eta=4937s
  [1475/1638] t=32 m=1000 w=5000 | elapsed=44258s eta=4907s
  [1476/1638] t=32 m=2000 w=5000 | elapsed=44288s eta=4877s
  [1477/1638] t=32 m=3000 w=5000 | elapsed=44318s eta=4847s
  [1478/1638] t=32 m=5000 w=5000 | elapsed=44348s eta=4817s
  [1479/1638] t=32 m=7000 w=5000 | elapsed=44378s eta=4787s
  [1480/1638] t=32 m=10000 w=5000 | elapsed=44408s eta=4756s
  [1481/1638] t=32 m=20000 w=5000 | elapsed=44439s eta=4726s
  [1482/1638] t=32 m=50000 w=5000 | elapsed=44469s eta=4696s
--- w=5000ns, rep=2/3 ---
  [1483/1638] t=8 m=0 w=5000 | elapsed=44499s eta=4666s
  [1484/1638] t=8 m=10 w=5000 | elapsed=44529s eta=4636s
  [1485/1638] t=8 m=20 w=5000 | elapsed=44559s eta=4606s
  [1486/1638] t=8 m=30 w=5000 | elapsed=44589s eta=4576s
  [1487/1638] t=8 m=40 w=5000 | elapsed=44619s eta=4546s
  [1488/1638] t=8 m=50 w=5000 | elapsed=44649s eta=4516s
  [1489/1638] t=8 m=60 w=5000 | elapsed=44679s eta=4485s
  [1490/1638] t=8 m=70 w=5000 | elapsed=44709s eta=4455s
  [1491/1638] t=8 m=80 w=5000 | elapsed=44740s eta=4425s
  [1492/1638] t=8 m=90 w=5000 | elapsed=44770s eta=4395s
  [1493/1638] t=8 m=100 w=5000 | elapsed=44800s eta=4365s
  [1494/1638] t=8 m=150 w=5000 | elapsed=44830s eta=4335s
  [1495/1638] t=8 m=200 w=5000 | elapsed=44860s eta=4305s
  [1496/1638] t=8 m=250 w=5000 | elapsed=44890s eta=4275s
  [1497/1638] t=8 m=300 w=5000 | elapsed=44920s eta=4245s
  [1498/1638] t=8 m=400 w=5000 | elapsed=44950s eta=4215s
  [1499/1638] t=8 m=500 w=5000 | elapsed=44980s eta=4184s
  [1500/1638] t=8 m=700 w=5000 | elapsed=45011s eta=4154s
  [1501/1638] t=8 m=1000 w=5000 | elapsed=45041s eta=4124s
  [1502/1638] t=8 m=2000 w=5000 | elapsed=45071s eta=4094s
  [1503/1638] t=8 m=3000 w=5000 | elapsed=45101s eta=4064s
  [1504/1638] t=8 m=5000 w=5000 | elapsed=45131s eta=4034s
  [1505/1638] t=8 m=7000 w=5000 | elapsed=45161s eta=4004s
  [1506/1638] t=8 m=10000 w=5000 | elapsed=45191s eta=3974s
  [1507/1638] t=8 m=20000 w=5000 | elapsed=45221s eta=3944s
  [1508/1638] t=8 m=50000 w=5000 | elapsed=45251s eta=3913s
  [1509/1638] t=16 m=0 w=5000 | elapsed=45281s eta=3883s
  [1510/1638] t=16 m=10 w=5000 | elapsed=45312s eta=3853s
  [1511/1638] t=16 m=20 w=5000 | elapsed=45342s eta=3823s
  [1512/1638] t=16 m=30 w=5000 | elapsed=45372s eta=3793s
  [1513/1638] t=16 m=40 w=5000 | elapsed=45402s eta=3763s
  [1514/1638] t=16 m=50 w=5000 | elapsed=45432s eta=3733s
  [1515/1638] t=16 m=60 w=5000 | elapsed=45462s eta=3703s
  [1516/1638] t=16 m=70 w=5000 | elapsed=45492s eta=3673s
  [1517/1638] t=16 m=80 w=5000 | elapsed=45522s eta=3642s
  [1518/1638] t=16 m=90 w=5000 | elapsed=45552s eta=3612s
  [1519/1638] t=16 m=100 w=5000 | elapsed=45583s eta=3582s
  [1520/1638] t=16 m=150 w=5000 | elapsed=45613s eta=3552s
  [1521/1638] t=16 m=200 w=5000 | elapsed=45643s eta=3522s
  [1522/1638] t=16 m=250 w=5000 | elapsed=45673s eta=3492s
  [1523/1638] t=16 m=300 w=5000 | elapsed=45703s eta=3462s
  [1524/1638] t=16 m=400 w=5000 | elapsed=45733s eta=3432s
  [1525/1638] t=16 m=500 w=5000 | elapsed=45763s eta=3402s
  [1526/1638] t=16 m=700 w=5000 | elapsed=45793s eta=3372s
  [1527/1638] t=16 m=1000 w=5000 | elapsed=45823s eta=3341s
  [1528/1638] t=16 m=2000 w=5000 | elapsed=45854s eta=3311s
  [1529/1638] t=16 m=3000 w=5000 | elapsed=45884s eta=3281s
  [1530/1638] t=16 m=5000 w=5000 | elapsed=45914s eta=3251s
  [1531/1638] t=16 m=7000 w=5000 | elapsed=45944s eta=3221s
  [1532/1638] t=16 m=10000 w=5000 | elapsed=45974s eta=3191s
  [1533/1638] t=16 m=20000 w=5000 | elapsed=46004s eta=3161s
  [1534/1638] t=16 m=50000 w=5000 | elapsed=46034s eta=3131s
  [1535/1638] t=32 m=0 w=5000 | elapsed=46064s eta=3101s
  [1536/1638] t=32 m=10 w=5000 | elapsed=46094s eta=3070s
  [1537/1638] t=32 m=20 w=5000 | elapsed=46124s eta=3040s
  [1538/1638] t=32 m=30 w=5000 | elapsed=46155s eta=3010s
  [1539/1638] t=32 m=40 w=5000 | elapsed=46185s eta=2980s
  [1540/1638] t=32 m=50 w=5000 | elapsed=46215s eta=2950s
  [1541/1638] t=32 m=60 w=5000 | elapsed=46245s eta=2920s
  [1542/1638] t=32 m=70 w=5000 | elapsed=46275s eta=2890s
  [1543/1638] t=32 m=80 w=5000 | elapsed=46305s eta=2860s
  [1544/1638] t=32 m=90 w=5000 | elapsed=46335s eta=2830s
  [1545/1638] t=32 m=100 w=5000 | elapsed=46365s eta=2799s
  [1546/1638] t=32 m=150 w=5000 | elapsed=46395s eta=2769s
  [1547/1638] t=32 m=200 w=5000 | elapsed=46426s eta=2739s
  [1548/1638] t=32 m=250 w=5000 | elapsed=46456s eta=2709s
  [1549/1638] t=32 m=300 w=5000 | elapsed=46486s eta=2679s
  [1550/1638] t=32 m=400 w=5000 | elapsed=46516s eta=2649s
  [1551/1638] t=32 m=500 w=5000 | elapsed=46546s eta=2619s
  [1552/1638] t=32 m=700 w=5000 | elapsed=46576s eta=2589s
  [1553/1638] t=32 m=1000 w=5000 | elapsed=46606s eta=2559s
  [1554/1638] t=32 m=2000 w=5000 | elapsed=46636s eta=2529s
  [1555/1638] t=32 m=3000 w=5000 | elapsed=46666s eta=2498s
  [1556/1638] t=32 m=5000 w=5000 | elapsed=46697s eta=2468s
  [1557/1638] t=32 m=7000 w=5000 | elapsed=46727s eta=2438s
  [1558/1638] t=32 m=10000 w=5000 | elapsed=46757s eta=2408s
  [1559/1638] t=32 m=20000 w=5000 | elapsed=46787s eta=2378s
  [1560/1638] t=32 m=50000 w=5000 | elapsed=46817s eta=2348s
--- w=5000ns, rep=3/3 ---
  [1561/1638] t=8 m=0 w=5000 | elapsed=46847s eta=2318s
  [1562/1638] t=8 m=10 w=5000 | elapsed=46877s eta=2288s
  [1563/1638] t=8 m=20 w=5000 | elapsed=46907s eta=2258s
  [1564/1638] t=8 m=30 w=5000 | elapsed=46937s eta=2227s
  [1565/1638] t=8 m=40 w=5000 | elapsed=46968s eta=2197s
  [1566/1638] t=8 m=50 w=5000 | elapsed=46998s eta=2167s
  [1567/1638] t=8 m=60 w=5000 | elapsed=47028s eta=2137s
  [1568/1638] t=8 m=70 w=5000 | elapsed=47058s eta=2107s
  [1569/1638] t=8 m=80 w=5000 | elapsed=47088s eta=2077s
  [1570/1638] t=8 m=90 w=5000 | elapsed=47118s eta=2047s
  [1571/1638] t=8 m=100 w=5000 | elapsed=47148s eta=2017s
  [1572/1638] t=8 m=150 w=5000 | elapsed=47178s eta=1987s
  [1573/1638] t=8 m=200 w=5000 | elapsed=47208s eta=1956s
  [1574/1638] t=8 m=250 w=5000 | elapsed=47238s eta=1926s
  [1575/1638] t=8 m=300 w=5000 | elapsed=47269s eta=1896s
  [1576/1638] t=8 m=400 w=5000 | elapsed=47299s eta=1866s
  [1577/1638] t=8 m=500 w=5000 | elapsed=47329s eta=1836s
  [1578/1638] t=8 m=700 w=5000 | elapsed=47359s eta=1806s
  [1579/1638] t=8 m=1000 w=5000 | elapsed=47389s eta=1776s
  [1580/1638] t=8 m=2000 w=5000 | elapsed=47419s eta=1746s
  [1581/1638] t=8 m=3000 w=5000 | elapsed=47449s eta=1716s
  [1582/1638] t=8 m=5000 w=5000 | elapsed=47479s eta=1686s
  [1583/1638] t=8 m=7000 w=5000 | elapsed=47509s eta=1655s
  [1584/1638] t=8 m=10000 w=5000 | elapsed=47540s eta=1625s
  [1585/1638] t=8 m=20000 w=5000 | elapsed=47570s eta=1595s
  [1586/1638] t=8 m=50000 w=5000 | elapsed=47600s eta=1565s
  [1587/1638] t=16 m=0 w=5000 | elapsed=47630s eta=1535s
  [1588/1638] t=16 m=10 w=5000 | elapsed=47660s eta=1505s
  [1589/1638] t=16 m=20 w=5000 | elapsed=47690s eta=1475s
  [1590/1638] t=16 m=30 w=5000 | elapsed=47720s eta=1445s
  [1591/1638] t=16 m=40 w=5000 | elapsed=47750s eta=1415s
  [1592/1638] t=16 m=50 w=5000 | elapsed=47780s eta=1384s
  [1593/1638] t=16 m=60 w=5000 | elapsed=47810s eta=1354s
  [1594/1638] t=16 m=70 w=5000 | elapsed=47841s eta=1324s
  [1595/1638] t=16 m=80 w=5000 | elapsed=47871s eta=1294s
  [1596/1638] t=16 m=90 w=5000 | elapsed=47901s eta=1264s
  [1597/1638] t=16 m=100 w=5000 | elapsed=47931s eta=1234s
  [1598/1638] t=16 m=150 w=5000 | elapsed=47961s eta=1204s
  [1599/1638] t=16 m=200 w=5000 | elapsed=47991s eta=1174s
  [1600/1638] t=16 m=250 w=5000 | elapsed=48021s eta=1144s
  [1601/1638] t=16 m=300 w=5000 | elapsed=48051s eta=1113s
  [1602/1638] t=16 m=400 w=5000 | elapsed=48081s eta=1083s
  [1603/1638] t=16 m=500 w=5000 | elapsed=48112s eta=1053s
  [1604/1638] t=16 m=700 w=5000 | elapsed=48142s eta=1023s
  [1605/1638] t=16 m=1000 w=5000 | elapsed=48172s eta=993s
  [1606/1638] t=16 m=2000 w=5000 | elapsed=48202s eta=963s
  [1607/1638] t=16 m=3000 w=5000 | elapsed=48232s eta=933s
  [1608/1638] t=16 m=5000 w=5000 | elapsed=48262s eta=903s
  [1609/1638] t=16 m=7000 w=5000 | elapsed=48292s eta=873s
  [1610/1638] t=16 m=10000 w=5000 | elapsed=48322s eta=843s
  [1611/1638] t=16 m=20000 w=5000 | elapsed=48352s eta=812s
  [1612/1638] t=16 m=50000 w=5000 | elapsed=48383s eta=782s
  [1613/1638] t=32 m=0 w=5000 | elapsed=48413s eta=752s
  [1614/1638] t=32 m=10 w=5000 | elapsed=48443s eta=722s
  [1615/1638] t=32 m=20 w=5000 | elapsed=48473s eta=692s
  [1616/1638] t=32 m=30 w=5000 | elapsed=48503s eta=662s
  [1617/1638] t=32 m=40 w=5000 | elapsed=48533s eta=632s
  [1618/1638] t=32 m=50 w=5000 | elapsed=48563s eta=602s
  [1619/1638] t=32 m=60 w=5000 | elapsed=48593s eta=572s
  [1620/1638] t=32 m=70 w=5000 | elapsed=48623s eta=541s
  [1621/1638] t=32 m=80 w=5000 | elapsed=48653s eta=511s
  [1622/1638] t=32 m=90 w=5000 | elapsed=48684s eta=481s
  [1623/1638] t=32 m=100 w=5000 | elapsed=48714s eta=451s
  [1624/1638] t=32 m=150 w=5000 | elapsed=48744s eta=421s
  [1625/1638] t=32 m=200 w=5000 | elapsed=48774s eta=391s
  [1626/1638] t=32 m=250 w=5000 | elapsed=48804s eta=361s
  [1627/1638] t=32 m=300 w=5000 | elapsed=48834s eta=331s
  [1628/1638] t=32 m=400 w=5000 | elapsed=48864s eta=301s
  [1629/1638] t=32 m=500 w=5000 | elapsed=48894s eta=270s
  [1630/1638] t=32 m=700 w=5000 | elapsed=48924s eta=240s
  [1631/1638] t=32 m=1000 w=5000 | elapsed=48955s eta=210s
  [1632/1638] t=32 m=2000 w=5000 | elapsed=48985s eta=180s
  [1633/1638] t=32 m=3000 w=5000 | elapsed=49015s eta=150s
  [1634/1638] t=32 m=5000 w=5000 | elapsed=49045s eta=120s
  [1635/1638] t=32 m=7000 w=5000 | elapsed=49075s eta=90s
  [1636/1638] t=32 m=10000 w=5000 | elapsed=49105s eta=60s
  [1637/1638] t=32 m=20000 w=5000 | elapsed=49135s eta=30s
  [1638/1638] t=32 m=50000 w=5000 | elapsed=49165s eta=0s

=== Done. Results in result/broadwell_xl170/ (skipped: 5/1638) ===
